Nombre;Altura;Edad;Valor de mercado;Partidos jugados;Goles;Asistencias;Amarillas;Rojas;Nacionalidad_emb_1;Nacionalidad_emb_2;Nacionalidad_emb_3;Nacionalidad_emb_4;Nacionalidad_emb_5;Nacionalidad_emb_6;Nacionalidad_emb_7;Nacionalidad_emb_8;Club_emb_1;Club_emb_2;Club_emb_3;Club_emb_4;Club_emb_5;Club_emb_6;Club_emb_7;Club_emb_8;PosiciÛn_emb_1;PosiciÛn_emb_2;PosiciÛn_emb_3;PosiciÛn_emb_4;PosiciÛn_emb_5;PosiciÛn_emb_6;PosiciÛn_emb_7;PosiciÛn_emb_8;Nacionalidad;Club ;Posicion
Dejan Kulusevski;1,86;25;50;0;0;0;0;0;-0,119122677;-0,122665301;-0,075567447;0,000715885;0,025636598;0,117220223;0,070935033;-0,055406928;-0,020995656;0,081839457;0,125685945;-0,051477801;-0,006212149;-0,07246431;0,049674053;0,032495394;0,057232734;-0,088231727;-0,043430768;0,121953472;-0,017196175;0,002575303;-0,048276402;-0,098835416;Suecia;Tottenham Hotspur;Mediocentro ofensivo
Alphonso Davies;1,83;25;50;0;0;0;0;0;0,043706231;0,028090477;-0,030651854;-0,115021206;0,013032379;-0,102717839;0,079382367;-0,073378921;0,002556021;0,036724091;-0,083628394;-0,014933302;0,096912265;0,090595022;-0,044424478;0,030976996;-0,038706813;0,082722649;0,021574922;0,005219473;0,044569455;0,002511997;0,121739149;0,061536744;Canada;Bayern Munich;Lateral izquierdo
Ferran Torres;1,84;25;50;14;7;1;2;0;-0,018197507;0,027924707;-0,010844457;0,073231526;-0,032498866;0,027797619;0,071192317;0,102874391;0,015848098;-0,026410157;0,000425417;-0,122277759;0,034241427;-0,059823867;0,014465211;-0,020497192;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Espana;FC Barcelona;Delantero centro
Marc Guehi;1,82;25;50;19;1;5;2;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;0,0492731;-0,079972073;0,107039653;-0,025023852;0,111330867;-0,067949563;-0,099752568;0,083477311;-0,005392203;-0,002638085;0,067659743;0,121681586;-0,114754312;-0,090336435;0,085549518;0,108700164;Inglaterra;Crystal Palace;Defensa central
Alessandro Buongiorno;1,9;26;50;11;0;1;0;0;-0,070087455;0,086913362;0,043283574;0,092748255;0,085460514;0,093211621;-0,045291722;-0,00876025;0,025104497;0,003371759;0,01017504;-0,044517815;-0,088343136;-0,027011739;0,051044561;0,108067945;-0,005392203;-0,002638085;0,067659743;0,121681586;-0,114754312;-0,090336435;0,085549518;0,108700164;Italia;SSC Napoles;Defensa central
Moise Kean;1,82;25;50;12;2;2;2;1;-0,070087455;0,086913362;0,043283574;0,092748255;0,085460514;0,093211621;-0,045291722;-0,00876025;-0,079352163;-0,025099222;-0,091824986;-0,036718916;0,013221201;0,118694969;0,117255121;-0,082813583;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Italia;Fiorentina;Delantero centro
Scott McTominay;1,93;28;50;14;4;1;0;0;0,087644964;-0,000745268;-0,078501634;-0,079560243;0,111893311;0,08058361;0,060109343;-0,040871479;0,025104497;0,003371759;0,01017504;-0,044517815;-0,088343136;-0,027011739;0,051044561;0,108067945;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Escocia;SSC Napoles;Mediocentro
Federico Dimarco;1,75;28;50;15;2;4;1;0;-0,070087455;0,086913362;0,043283574;0,092748255;0,085460514;0,093211621;-0,045291722;-0,00876025;-0,069649406;0,020569252;-0,011019945;0,086448185;0,050153639;0,05676036;0,019266184;-0,034814984;-0,038706813;0,082722649;0,021574922;0,005219473;0,044569455;0,002511997;0,121739149;0,061536744;Italia;Inter de Milan;Lateral izquierdo
Geovany Quenda;1,78;18;45;23;6;7;2;0;0,094597615;-0,079555579;0,014744219;0,079444386;-0,033918057;-0,077495568;-0,002692658;-0,106440246;-0,018117685;-0,035151962;0,113266036;0,066496491;-0,026649352;-0,118975922;-0,092169307;-0,014448095;0,120682091;-0,096872486;-0,026702812;-0,017303599;0,104123399;-0,0770275;0,004711031;-0,06300398;Portugal;Sporting de Lisboa;Extremo derecho
Ousmane Diomande;1,9;21;45;8;0;0;3;0;-0,066164918;0,085928261;-0,069988996;0,028101388;-0,065104641;0,075750813;0,054929648;0,030766457;-0,018117685;-0,035151962;0,113266036;0,066496491;-0,026649352;-0,118975922;-0,092169307;-0,014448095;-0,005392203;-0,002638085;0,067659743;0,121681586;-0,114754312;-0,090336435;0,085549518;0,108700164;Costa de Marfil;Sporting de Lisboa;Defensa central
Myles Lewis Skelly;1,78;19;45;13;0;3;2;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;-0,002708036;0,042245775;-0,011056037;0,106596567;0,11312753;0,081454895;-0,00780597;0,095384277;-0,038706813;0,082722649;0,021574922;0,005219473;0,044569455;0,002511997;0,121739149;0,061536744;Inglaterra;Arsenal FC;Lateral izquierdo
Ethan Nwaneri;1,65;18;45;14;3;2;1;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;-0,002708036;0,042245775;-0,011056037;0,106596567;0,11312753;0,081454895;-0,00780597;0,095384277;0,057232734;-0,088231727;-0,043430768;0,121953472;-0,017196175;0,002575303;-0,048276402;-0,098835416;Inglaterra;Arsenal FC;Mediocentro ofensivo
Kobbie Mainoo;1,75;20;45;8;0;1;0;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;0,027283248;-0,100400135;-0,033273615;0,036728553;0,067628078;-0,030931495;-0,11711961;0,054781374;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Inglaterra;Manchester United;Mediocentro
Can Uzun;1,86;20;45;14;6;4;2;0;-0,051776182;0,088101126;-0,077325046;0,060995255;-0,101748295;0,024314163;-0,059879653;-0,054608732;-0,038085304;0,042216364;0,037943125;0,088019282;-0,028539799;0,108911075;0,095910594;-0,120805584;0,057232734;-0,088231727;-0,043430768;0,121953472;-0,017196175;0,002575303;-0,048276402;-0,098835416;Turquia;Eintracht Frankfurt;Mediocentro ofensivo
Alejandro Garnacho;1,8;21;45;10;2;2;0;0;-0,10625907;0,03760311;-0,056812607;-0,060988799;0,046214957;0,065771557;0,09844967;-0,074539743;-0,088644914;-0,032202657;0,063807413;-0,044403527;-0,11665424;0,047444902;0,061930876;-0,081325889;0,062863782;0,110490873;-0,099378586;0,061280698;-0,048775189;0,008166548;0,110378511;-0,058631115;Argentina;Chelsea FC;Extremo izquierdo
Maghnes Akliouche;1,83;23;45;15;3;3;1;0;-0,118933551;0,059899732;-0,107918292;-0,050820861;0,002380732;-0,005078932;-0,093127877;0,117712639;-0,093122393;-0,118195526;0,03015309;0,078398488;0,100428052;0,070976749;-0,008518565;0,102926955;0,120682091;-0,096872486;-0,026702812;-0,017303599;0,104123399;-0,0770275;0,004711031;-0,06300398;Francia;AS Monaco;Extremo derecho
Milos Kerkez;1,78;22;45;16;1;0;3;0;0,026608484;0,007582155;0,074679367;-0,08465261;-0,085229114;-0,056423925;0,118256733;-0,019848699;-0,09028963;0,117033444;0,096519969;0,071010381;-0,084167235;0,07214126;0,052050684;0,064132676;-0,038706813;0,082722649;0,021574922;0,005219473;0,044569455;0,002511997;0,121739149;0,061536744;Hungria;Liverpool FC;Lateral izquierdo
Jamie Gittens;1,8;21;45;19;2;4;0;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;-0,088644914;-0,032202657;0,063807413;-0,044403527;-0,11665424;0,047444902;0,061930876;-0,081325889;0,062863782;0,110490873;-0,099378586;0,061280698;-0,048775189;0,008166548;0,110378511;-0,058631115;Inglaterra;Chelsea FC;Extremo izquierdo
Gabriel Martinelli;1,78;24;45;13;5;1;0;0;-0,010247849;0,033773843;0,068939246;0,090636082;-0,069321349;0,022180473;0,077888712;-0,062032707;-0,002708036;0,042245775;-0,011056037;0,106596567;0,11312753;0,081454895;-0,00780597;0,095384277;0,062863782;0,110490873;-0,099378586;0,061280698;-0,048775189;0,008166548;0,110378511;-0,058631115;Brasil;Arsenal FC;Extremo izquierdo
Rasmus Hojlund;1,91;22;45;10;4;0;1;0;0,023551175;-0,086610831;-0,120499112;0,115082376;0,078658141;-0,086847089;0,044378698;0,001335879;0,025104497;0,003371759;0,01017504;-0,044517815;-0,088343136;-0,027011739;0,051044561;0,108067945;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Dinamarca;SSC Napoles;Delantero centro
Anderson;1,84;26;45;10;0;1;2;0;-0,010247849;0,033773843;0,068939246;0,090636082;-0,069321349;0,022180473;0,077888712;-0,062032707;-0,028887864;-0,122786947;0,073539637;-0,046462215;-0,014804218;0,123038486;-0,026876908;-0,061669301;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Brasil;Atalanta;Mediocentro
Rayan Cherki;1,76;22;45;9;3;3;0;0;-0,118933551;0,059899732;-0,107918292;-0,050820861;0,002380732;-0,005078932;-0,093127877;0,117712639;-0,037938088;0,09741722;0,07532075;-0,01707379;0,019551584;0,021332366;0,0991868;-0,120310917;0,120682091;-0,096872486;-0,026702812;-0,017303599;0,104123399;-0,0770275;0,004711031;-0,06300398;Francia;Manchester City;Extremo derecho
Elliot Anderson;1,79;23;45;15;1;1;2;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;-0,02313358;-0,055052746;-0,080458038;-0,044632349;0,054380458;-0,046810113;0,10588143;0,017973691;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Inglaterra;Nottingham Forest;Mediocentro
Mateo Retegui;1,86;26;45;10;6;1;3;0;-0,070087455;0,086913362;0,043283574;0,092748255;0,085460514;0,093211621;-0,045291722;-0,00876025;-0,071815856;0,09853816;-0,030013165;-0,056973238;-0,025522394;0,121641405;-0,085521482;-0,027627349;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Italia;Al-Qadsiah FC;Delantero centro
Goncalo Inacio;1,86;24;45;16;0;2;2;0;0,094597615;-0,079555579;0,014744219;0,079444386;-0,033918057;-0,077495568;-0,002692658;-0,106440246;-0,018117685;-0,035151962;0,113266036;0,066496491;-0,026649352;-0,118975922;-0,092169307;-0,014448095;-0,005392203;-0,002638085;0,067659743;0,121681586;-0,114754312;-0,090336435;0,085549518;0,108700164;Portugal;Sporting de Lisboa;Defensa central
Darwin Nunez;1,87;26;45;8;4;2;1;0;-0,090173647;-0,120615825;-0,033945676;-0,103281252;-0,07445699;-0,071953729;-0,028584667;-0,022134779;-0,08503107;0,05260979;0,046915956;-0,070251219;0,121331938;-0,044629585;0,119636312;0,010162139;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Uruguay;Al-Hilal SFC;Delantero centro
Jonathan David;1,8;25;45;20;2;1;0;0;0,043706231;0,028090477;-0,030651854;-0,115021206;0,013032379;-0,102717839;0,079382367;-0,073378921;0,099411055;-0,062767781;0,106107742;0,068139531;-0,081188984;0,048641305;0,070241161;-0,094398037;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Canada;Juventus;Delantero centro
Jeremie Frimpong;1,71;24;45;9;1;0;0;0;-0,111019142;-0,090241298;0,012151266;0,083693758;-0,105585292;0,044175122;0,067653678;0,069097698;-0,09028963;0,117033444;0,096519969;0,071010381;-0,084167235;0,07214126;0,052050684;0,064132676;0,029065797;-0,058358915;0,106612936;-0,119788006;0,084394656;0,035337035;-0,060063813;0,052847728;Paises Bajos;Liverpool FC;Lateral derecho
Angelo Stiller;1,83;24;45;17;1;5;1;0;0,08640074;0,073262207;0,119738005;0,119977802;0,099477038;-0,088858768;-0,112221435;-0,007820635;-0,11919608;0,110994257;0,052204959;0,115986332;0,083862051;0,035857394;0,123523742;-0,056553517;-0,016960477;-0,117974713;0,056287192;0,011867293;0,094767965;-0,011302987;-0,029954249;-0,11315833;Alemania;VfB Stuttgart;Pivote
Curtis Jones;1,85;24;45;14;0;0;2;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;-0,09028963;0,117033444;0,096519969;0,071010381;-0,084167235;0,07214126;0,052050684;0,064132676;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Inglaterra;Liverpool FC;Mediocentro
Lois Openda;1,77;25;45;13;0;0;0;0;0,073881842;0,004439071;0,103805721;-0,085004844;-0,101900026;0,11536216;-0,00055224;-0,025996909;0,099411055;-0,062767781;0,106107742;0,068139531;-0,081188984;0,048641305;0,070241161;-0,094398037;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Belgica;Juventus;Delantero centro
Frenkie de Jong;1,81;28;45;14;0;2;4;0;-0,111019142;-0,090241298;0,012151266;0,083693758;-0,105585292;0,044175122;0,067653678;0,069097698;0,015848098;-0,026410157;0,000425417;-0,122277759;0,034241427;-0,059823867;0,014465211;-0,020497192;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Paises Bajos;FC Barcelona;Mediocentro
Marc Cucurella;1,72;27;45;16;0;2;4;0;-0,018197507;0,027924707;-0,010844457;0,073231526;-0,032498866;0,027797619;0,071192317;0,102874391;-0,088644914;-0,032202657;0,063807413;-0,044403527;-0,11665424;0,047444902;0,061930876;-0,081325889;-0,038706813;0,082722649;0,021574922;0,005219473;0,044569455;0,002511997;0,121739149;0,061536744;Espana;Chelsea FC;Lateral izquierdo
Serhou Guirassy;1,87;29;45;15;7;4;2;0;-0,107367858;0,032842718;-0,044726815;0,120597705;0,0367647;0,058033369;0,03006782;0,082306899;0,05805143;-0,051959045;0,034812916;0,087660529;0,075818077;-0,094192736;0,1171472;0,056525052;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Guinea;Borussia Dortmund;Delantero centro
Bruno Fernandes;1,79;31;45;12;2;3;2;0;0,094597615;-0,079555579;0,014744219;0,079444386;-0,033918057;-0,077495568;-0,002692658;-0,106440246;0,027283248;-0,100400135;-0,033273615;0,036728553;0,067628078;-0,030931495;-0,11711961;0,054781374;0,057232734;-0,088231727;-0,043430768;0,121953472;-0,017196175;0,002575303;-0,048276402;-0,098835416;Portugal;Manchester United;Mediocentro ofensivo
Joshua Kimmich;1,77;30;45;17;1;3;3;0;0,08640074;0,073262207;0,119738005;0,119977802;0,099477038;-0,088858768;-0,112221435;-0,007820635;0,002556021;0,036724091;-0,083628394;-0,014933302;0,096912265;0,090595022;-0,044424478;0,030976996;-0,016960477;-0,117974713;0,056287192;0,011867293;0,094767965;-0,011302987;-0,029954249;-0,11315833;Alemania;Bayern Munich;Pivote
Mohamed Salah;1,75;33;45;17;5;3;2;0;-0,030039134;0,044914529;-0,001251979;-0,014713181;-0,012934581;-0,020893741;0,00767875;0,051887624;-0,09028963;0,117033444;0,096519969;0,071010381;-0,084167235;0,07214126;0,052050684;0,064132676;0,120682091;-0,096872486;-0,026702812;-0,017303599;0,104123399;-0,0770275;0,004711031;-0,06300398;Egipto;Liverpool FC;Extremo derecho
Amadou Onana;1,95;24;42;9;1;0;2;0;0,073881842;0,004439071;0,103805721;-0,085004844;-0,101900026;0,11536216;-0,00055224;-0,025996909;-0,103992268;0,076159328;-0,057120427;-0,038145397;0,116729438;0,010006492;0,094286263;-0,077734984;-0,016960477;-0,117974713;0,056287192;0,011867293;0,094767965;-0,011302987;-0,029954249;-0,11315833;Belgica;Aston Villa;Pivote
Yoane Wissa;1,76;29;42;0;0;0;0;0;0,021831898;0,010599242;0,015212551;-0,032686796;-0,074696437;0,091299735;0,095083855;0,103533804;0,064583987;0,123419069;-0,105472773;-0,063603304;-0,088028975;-0,06087156;-0,046972848;-0,10734611;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;RD Congo;Newcastle United;Delantero centro
Rodrigo Mora;1,7;18;40;18;6;1;1;0;0,094597615;-0,079555579;0,014744219;0,079444386;-0,033918057;-0,077495568;-0,002692658;-0,106440246;-0,11674042;0,042108499;0,003614191;0,048585664;0,093005918;-0,084196314;0,070434541;-0,119536623;0,057232734;-0,088231727;-0,043430768;0,121953472;-0,017196175;0,002575303;-0,048276402;-0,098835416;Portugal;FC Oporto;Mediocentro ofensivo
Hugo Larsson;1,87;21;40;14;0;3;0;0;-0,119122677;-0,122665301;-0,075567447;0,000715885;0,025636598;0,117220223;0,070935033;-0,055406928;-0,038085304;0,042216364;0,037943125;0,088019282;-0,028539799;0,108911075;0,095910594;-0,120805584;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Suecia;Eintracht Frankfurt;Mediocentro
Jorrel Hato;1,82;19;40;8;0;1;2;0;-0,111019142;-0,090241298;0,012151266;0,083693758;-0,105585292;0,044175122;0,067653678;0,069097698;-0,088644914;-0,032202657;0,063807413;-0,044403527;-0,11665424;0,047444902;0,061930876;-0,081325889;-0,038706813;0,082722649;0,021574922;0,005219473;0,044569455;0,002511997;0,121739149;0,061536744;Paises Bajos;Chelsea FC;Lateral izquierdo
Lucas Bergvall;1,85;19;40;15;1;3;1;0;-0,119122677;-0,122665301;-0,075567447;0,000715885;0,025636598;0,117220223;0,070935033;-0,055406928;-0,020995656;0,081839457;0,125685945;-0,051477801;-0,006212149;-0,07246431;0,049674053;0,032495394;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Suecia;Tottenham Hotspur;Mediocentro
Joao Gomes;1,76;24;40;14;0;1;4;0;-0,010247849;0,033773843;0,068939246;0,090636082;-0,069321349;0,022180473;0,077888712;-0,062032707;-0,102725282;0,077937119;-0,024099158;-0,006963616;-0,022335006;-0,056682732;0,05160711;-0,053987272;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292;Brasil;Wolverhampton Wanderers;Mediocentro
Evanilson;1,8;26;40;10;1;1;1;0;-0,010247849;0,033773843;0,068939246;0,090636082;-0,069321349;0,022180473;0,077888712;-0,062032707;0,059457745;-0,090179548;0,050502762;0,055724271;0,126208872;-0,055905778;-0,015982896;-0,092736579;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532;Brasil;AFC Bournemouth;Delantero centro
Rico Lewis;1,69;20;40;13;1;3;2;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;-0,037938088;0,09741722;0,07532075;-0,01707379;0,019551584;0,021332366;0,0991868;-0,120310917;0,029065797;-0,058358915;0,106612936;-0,119788006;0,084394656;0,035337035;-0,060063813;0,052847728;Inglaterra;Manchester City;Lateral derecho
